     순위     출발_동     도착_동      score
      1      가락동      논현동   1.000000
      1      가락동      역삼동   1.000000
      1      가락동      종로동   1.000000
      1      가산동      반포동   1.000000
      1      가산동     신도림동   1.000000
      1      가산동      신정동   1.000000
      1      가산동     영등포동   1.000000
      1      가양동      회현동   1.000000
      1      가회동      종로동   1.000000
      1      갈현동      공덕동   1.000000
      1      갈현동     압구정동   1.000000
      1      개봉동      회현동   1.000000
      1      개포동      삼성동   1.000000
      1      개포동      양재동   1.000000
      1      공덕동      방화동   1.000000
      1      공덕동      상암동   1.000000
      1      공릉동      반포동   1.000000
      1      공릉동      삼성동   1.000000
      1      공릉동      서교동   1.000000
      1      공릉동      서초동   1.000000
      1      공릉동      성수동   1.000000
      1      공항동       목동   1.000000
      1      공항동     우장산동   1.000000
      1      광희동      삼선동   1.000000
      1      광희동      서초동   1.000000
      1      광희동      신당동   1.000000
      1      구로동      구의동   1.000000
      1      구로동      사당동   1.000000
      1      구로동      상도동   1.000000
      1      구로동      양재동   1.000000
      1      구로동      인헌동   1.000000
      1      구로동     한강로동   1.000000
      1      구의동      문정동   1.000000
      1      구의동      반포동   1.000000
      1      구의동      사근동   1.000000
      1      구의동      사직동   1.000000
      1      구의동      삼성동   1.000000
      1      구의동      상계동   1.000000
      1      구의동      신촌동   1.000000
      1      구의동      용답동   1.000000
      1      구의동      청룡동   1.000000
      1      금호동      신당동   1.000000
      1       길동      둔촌동   1.000000
      1      길음동      송중동   1.000000
      1      길음동      월곡동   1.000000
      1      길음동     한강로동   1.000000
      1      난곡동      신사동   1.000000
      1     남가좌동      응암동   1.000000
      1      남영동      남현동   1.000000
      1      남영동       명동   1.000000
      1      남현동      남영동   1.000000
      1      남현동       명동   1.000000
      1      남현동     여의도동   1.000000
      1      남현동      이화동   1.000000
      1      내곡동      역삼동   1.000000
      1     노량진동      등촌동   1.000000
      1     노량진동      방화동   1.000000
      1     노량진동      사당동   1.000000
      1     노량진동      잠실동   1.000000
      1      녹번동      사직동   1.000000
      1      녹번동     압구정동   1.000000
      1      녹번동     을지로동   1.000000
      1      논현동       명동   1.000000
      1      논현동      용답동   1.000000
      1      논현동      중계동   1.000000
      1      논현동      중곡동   1.000000
      1      논현동     한강로동   1.000000
      1       능동      대치동   1.000000
      1       능동      용답동   1.000000
      1       능동      중곡동   1.000000
      1      당산동      사직동   1.000000
      1      당산동      신길동   1.000000
      1      당산동      신정동   1.000000
      1      당산동      충현동   1.000000
      1      대림동      시흥동   1.000000
      1      대림동     영등포동   1.000000
      1      대방동      서초동   1.000000
      1      대조동      사직동   1.000000
      1      대조동      서교동   1.000000
      1      대치동       능동   1.000000
      1      대치동      석촌동   1.000000
      1      대치동      신정동   1.000000
      1      대치동     여의도동   1.000000
      1      대치동       창동   1.000000
      1      대흥동      신사동   1.000000
      1      대흥동      잠실동   1.000000
      1      대흥동      충현동   1.000000
      1      대흥동     한강로동   1.000000
      1      도곡동      삼성동   1.000000
      1      도곡동     여의도동   1.000000
      1      도곡동      청룡동   1.000000
      1      도화동      공덕동   1.000000
      1      돈암동      삼선동   1.000000
      1      둔촌동      반포동   1.000000
      1      둔촌동      방이동   1.000000
