출발_동,도착_동,label,score
가락동,가락동,1,1
가락동,가산동,,0.998476999
가락동,가양동,,0.942006975
가락동,갈현동,,0.99884797
가락동,강일동,0,0.104049191
가락동,개봉동,,0.45355594
가락동,개포동,,1
가락동,거여동,1,1
가락동,공덕동,,0.989908085
가락동,공릉동,,0.998936272
가락동,공항동,,0.159963916
가락동,광장동,,0.999999812
가락동,광희동,,0.999854182
가락동,교남동,0,0.0959422162
가락동,구로동,,0.999999555
가락동,구의동,1,1
가락동,군자동,,0.276360397
가락동,금호동,,0.979622532
가락동,길동,,0.999994828
가락동,길음동,,0.890223141
가락동,남가좌동,,0.182595276
가락동,남영동,,0.93291299
가락동,남현동,,0.999998928
가락동,내곡동,,0.565086167
가락동,노량진동,,0.999541915
가락동,녹번동,,0.97896904
가락동,논현동,,1
가락동,능동,,0.999999998
가락동,다산동,0,0.101893219
가락동,답십리동,,0.199593697
가락동,당산동,,0.999486758
가락동,대림동,,0.974801835
가락동,대방동,,0.973118906
가락동,대조동,,0.965887354
가락동,대치동,1,1
가락동,대학동,1,0.137380981
가락동,대흥동,,0.978646948
가락동,도곡동,1,1
가락동,도봉동,,0.832735348
가락동,독산동,,0.253056632
가락동,동화동,,0.553908912
가락동,둔촌동,1,1
가락동,등촌동,,0.972173097
가락동,마장동,,0.843692925
가락동,마천동,1,1
가락동,망우동,,0.545050206
가락동,면목동,,0.999999385
가락동,명동,,1
가락동,명일동,,0.999999999
가락동,목동,,0.999967763
가락동,무악동,0,0.0954484515
가락동,묵동,,0.772670665
가락동,문래동,,0.70597081
가락동,문정동,1,1
가락동,미아동,,0.495743953
가락동,반포동,1,1
가락동,발산동,,0.263856179
가락동,방배동,,0.999816041
가락동,방이동,1,1
가락동,방학동,,0.208636177
가락동,방화동,,0.998444216
가락동,번동,,0.967996654
가락동,보라매동,,0.157292447
가락동,보문동,,0.385388161
가락동,북성동,0,0.104712035
가락동,불광동,,0.146452295
가락동,사근동,,0.920783788
가락동,사당동,,0.999990912
가락동,사직동,1,1
가락동,삼선동,,0.997005397
가락동,삼성동,1,1
가락동,삼양동,,0.249971164
가락동,삼전동,,0.99999936
가락동,삼청동,0,0.0979172608
가락동,상계동,,0.999997369
가락동,상도동,,0.999555024
