출발_동,도착_동,지하철_승객수,버스_승객수,택시_승객수,클러스터,label,score
가락동,가락동,482773,1425301,62801.15183,79,1.0,1.0
가락동,가산동,38918,0,23246.33981,5,,0.998476999069941
가락동,가양동,22448,0,23076.043,13,,0.9420069749450107
가락동,갈현동,40163,0,23259.21288,4,,0.9988479699049685
가락동,강일동,0,766,22862.72625,57,0.0,0.10404919126768356
가락동,개봉동,9202,0,22939.08177,28,,0.4535559404303993
가락동,개포동,90037,102212,26282.36202,69,,0.9999999999999722
가락동,거여동,114151,438780,34788.37026,76,1.0,1.0
가락동,공덕동,30457,0,23158.8546,8,,0.9899080848290235
가락동,공릉동,40451,117,23265.06099,4,,0.9989362718278135
가락동,공항동,2645,0,22871.28358,45,,0.15996391648910668
가락동,광장동,76652,4071,23736.37213,19,,0.9999998117572174
가락동,광희동,47066,3995,23428.59384,2,,0.9998541817330581
가락동,교남동,0,71,22845.67653,62,0.0,0.0959422161667477
가락동,구로동,75169,0,23621.16856,19,,0.999999554760916
가락동,구의동,148324,87409,26521.89235,72,1.0,1.0
가락동,군자동,0,9946,23087.92967,39,,0.2763603970843842
가락동,금호동,26635,1118,23146.76255,10,,0.9796225319955161
가락동,길동,51620,21861,23913.96943,0,,0.9999948281726618
가락동,길음동,19354,0,23044.0516,15,,0.8902231414162851
가락동,남가좌동,3356,0,22878.63519,42,,0.18259527636870168
가락동,남영동,21756,0,23068.88785,13,,0.9329129897419188
가락동,남현동,71253,1,23580.70236,16,,0.9999989275459851
가락동,내곡동,11198,0,22959.72005,24,,0.5650861672138918
가락동,노량진동,43275,1729,23333.80616,2,,0.9995419148036436
가락동,녹번동,27028,189,23128.03591,10,,0.9789690402079083
가락동,논현동,198282,7530,25078.86028,74,,1.0
가락동,능동,94487,7868,24013.93065,67,,0.9999999979019256
가락동,다산동,0,586,22858.31049,58,0.0,0.10189321945749961
가락동,답십리동,0,6659,23007.29311,43,,0.19959369727699652
가락동,당산동,43767,0,23296.47758,3,,0.9994867581790824
가락동,대림동,26313,0,23116.0064,10,,0.9748018352950406
가락동,대방동,25810,359,23119.61244,11,,0.973118905921744
가락동,대조동,24923,0,23101.63405,11,,0.9658873540475343
가락동,대치동,385398,135495,30152.8384,77,1.0,1.0
가락동,대학동,1849,0,22863.05309,48,1.0,0.13738098115548758
가락동,대흥동,27068,0,23123.81296,10,,0.978646948341012
가락동,도곡동,244223,10189,25619.11236,75,1.0,1.0
가락동,도봉동,17181,0,23021.58318,17,,0.8327353483402781
가락동,독산동,5211,0,22897.81555,37,,0.2530566322884846
가락동,동화동,10996,0,22957.6314,25,,0.5539089118944838
가락동,둔촌동,171904,15508,25001.83256,73,1.0,1.0
가락동,등촌동,25859,0,23111.31212,11,,0.9721730966753884
가락동,마장동,17541,0,23025.30551,17,,0.8436929248937726
가락동,마천동,114468,496924,36218.03447,77,1.0,1.0
가락동,망우동,5944,8471,23113.2049,26,,0.5450502062179843
가락동,면목동,52400,36930,24291.70664,0,,0.9999993849163566
가락동,명동,110189,825,24003.50786,69,,0.9999999998460445
가락동,명일동,95600,12690,24143.732,67,,0.9999999991255619
가락동,목동,56096,0,23423.9572,7,,0.9999677631366706
